Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
WORD,LINEAR,0,0.659347
WORD,LINEAR,0,0.651782
WORD,LINEAR,0,0.654253
WORD,LINEAR,0,0.654705
WORD,LINEAR,0,0.663499
WORD,LINEAR,0,0.662303
WORD,LINEAR,0,0.662813
WORD,LINEAR,0,0.660163
WORD,LINEAR,0,0.661315
WORD,LINEAR,0,0.664313
WORD,LINEAR,0,0.661501
WORD,LINEAR,0,0.663874
WORD,LINEAR,0,0.66535
WORD,LINEAR,0,0.66219
WORD,LINEAR,0,0.664158
WORD,LINEAR,0,0.678877
WORD,LINEAR,0,0.663107
WORD,LINEAR,0,0.66271
WORD,LINEAR,0,0.674333
WORD,LINEAR,0,0.670113
WORD,LINEAR,0,0.663994
WORD,LINEAR,0,0.665793
WORD,LINEAR,0,0.661871
WORD,LINEAR,0,0.665163
WORD,LINEAR,0,0.664726
WORD,LINEAR,0,0.671257
WORD,LINEAR,0,0.665987
WORD,LINEAR,0,0.663059
WORD,LINEAR,0,0.66291
WORD,LINEAR,0,0.663539
WORD,CLUSTERED,2000,0.976715
WORD,CLUSTERED,2000,0.998932
WORD,CLUSTERED,1750,1.07392
WORD,CLUSTERED,1625,1.18968
WORD,CLUSTERED,2000,0.978909
WORD,CLUSTERED,2000,0.975378
WORD,CLUSTERED,2000,1.03476
WORD,CLUSTERED,1833,1.08254
WORD,CLUSTERED,1700,1.07716
WORD,CLUSTERED,1700,1.11331
WORD,CLUSTERED,2000,0.955846
WORD,CLUSTERED,1833,1.04423
WORD,CLUSTERED,2000,0.896151
WORD,CLUSTERED,1611,1.22575
WORD,CLUSTERED,2000,0.914282
WORD,CLUSTERED,1625,1.18627
WORD,CLUSTERED,2000,0.964299
WORD,CLUSTERED,1833,1.07913
WORD,CLUSTERED,1833,1.01689
WORD,CLUSTERED,2000,0.931811
WORD,CLUSTERED,1833,1.03478
WORD,CLUSTERED,1475,1.20418
WORD,CLUSTERED,2000,1.01649
WORD,CLUSTERED,2000,0.977682
WORD,CLUSTERED,1666,1.0719
WORD,CLUSTERED,2000,0.973023
WORD,CLUSTERED,1499,1.17549
WORD,CLUSTERED,1833,1.10102
WORD,CLUSTERED,2000,0.939294
WORD,CLUSTERED,2000,1.00149
WORD,SQUARE,796,1.86111
WORD,SQUARE,796,1.85364
WORD,SQUARE,796,1.84109
WORD,SQUARE,796,1.87877
WORD,SQUARE,796,1.89223
WORD,SQUARE,796,1.91738
WORD,SQUARE,796,1.92965
WORD,SQUARE,796,1.92011
WORD,SQUARE,796,1.82487
WORD,SQUARE,796,1.8076
WORD,SQUARE,796,1.82992
WORD,SQUARE,796,1.81117
WORD,SQUARE,796,1.84045
WORD,SQUARE,796,1.82441
WORD,SQUARE,796,1.82372
WORD,SQUARE,796,1.80765
WORD,SQUARE,796,1.82789
WORD,SQUARE,796,1.81841
WORD,SQUARE,796,1.82059
WORD,SQUARE,796,1.87739
WORD,SQUARE,796,1.82497
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
WORD,LINEAR,0,1.14613
WORD,LINEAR,0,1.11913
WORD,LINEAR,0,1.1069
WORD,LINEAR,0,1.10696
WORD,LINEAR,0,1.11222
WORD,LINEAR,0,1.10785
WORD,LINEAR,0,1.10701
WORD,LINEAR,0,1.11998
WORD,LINEAR,0,1.11945
WORD,LINEAR,0,1.11388
WORD,LINEAR,0,1.11164
WORD,LINEAR,0,1.12962
WORD,LINEAR,0,1.12378
WORD,LINEAR,0,1.12099
WORD,LINEAR,0,1.12896
WORD,LINEAR,0,1.1234
WORD,LINEAR,0,1.16246
WORD,LINEAR,0,1.12677
WORD,LINEAR,0,1.13646
WORD,LINEAR,0,1.13241
WORD,LINEAR,0,1.1255
WORD,LINEAR,0,1.12756
WORD,LINEAR,0,1.24561
WORD,LINEAR,0,1.14792
WORD,LINEAR,0,1.11542
WORD,LINEAR,0,1.14709
WORD,LINEAR,0,1.12909
WORD,LINEAR,0,1.13442
WORD,LINEAR,0,1.12937
WORD,LINEAR,0,1.14654
WORD,CLUSTERED,2000,2.83833
WORD,CLUSTERED,2000,2.75468
WORD,CLUSTERED,2000,3.12966
WORD,CLUSTERED,1833,3.37214
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
WORD,LINEAR,0,1.11106
WORD,LINEAR,0,1.10958
WORD,LINEAR,0,1.11243
WORD,LINEAR,0,1.10899
WORD,LINEAR,0,1.1125
WORD,LINEAR,0,1.10839
WORD,LINEAR,0,1.1064
WORD,LINEAR,0,1.1087
WORD,LINEAR,0,1.11158
WORD,LINEAR,0,1.10815
WORD,LINEAR,0,1.10913
WORD,LINEAR,0,1.11
WORD,LINEAR,0,1.10924
WORD,LINEAR,0,1.10993
WORD,LINEAR,0,1.10951
WORD,LINEAR,0,1.10951
WORD,LINEAR,0,1.11083
WORD,LINEAR,0,1.10753
WORD,LINEAR,0,1.10467
WORD,LINEAR,0,1.10959
WORD,LINEAR,0,1.11045
WORD,LINEAR,0,1.11067
WORD,LINEAR,0,1.10823
WORD,LINEAR,0,1.11141
WORD,LINEAR,0,1.1105
WORD,LINEAR,0,1.10862
WORD,LINEAR,0,1.11042
WORD,LINEAR,0,1.10775
WORD,LINEAR,0,1.11146
WORD,LINEAR,0,1.1087
WORD,CLUSTERED,2000,2.5725
WORD,CLUSTERED,2000,3.00291
WORD,CLUSTERED,2000,2.75817
WORD,CLUSTERED,2000,2.76954
WORD,CLUSTERED,2000,3.01569
WORD,CLUSTERED,2000,2.8014
WORD,CLUSTERED,2000,2.80228
WORD,CLUSTERED,2000,3.03828
WORD,CLUSTERED,2000,2.66716
WORD,CLUSTERED,2000,2.94742
WORD,CLUSTERED,2000,3.14776
WORD,CLUSTERED,2000,2.81894
WORD,CLUSTERED,2000,2.69014
WORD,CLUSTERED,2000,2.79291
WORD,CLUSTERED,2000,2.89774
WORD,CLUSTERED,2000,2.78441
WORD,CLUSTERED,2000,2.88887
WORD,CLUSTERED,2000,2.95687
WORD,CLUSTERED,2000,3.16234
WORD,CLUSTERED,2000,2.91351
WORD,CLUSTERED,2000,2.8457
WORD,CLUSTERED,2000,2.89963
WORD,CLUSTERED,2000,2.79337
WORD,CLUSTERED,2000,2.79258
WORD,CLUSTERED,2000,2.70292
WORD,CLUSTERED,2000,2.71293
WORD,CLUSTERED,2000,2.8205
WORD,CLUSTERED,2000,2.98376
WORD,CLUSTERED,2000,2.84904
WORD,CLUSTERED,2000,2.98953
WORD,SQUARE,796,6.81515
WORD,SQUARE,796,6.82022
WORD,SQUARE,796,6.72873
WORD,SQUARE,796,6.92206
WORD,SQUARE,796,7.0574
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
Mutation Type,Checkpoint Pattern,Best Fitness,Time Taken (s)
